time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.orientation.x,.orientation.y,.orientation.z,.orientation.w,.orientation_covariance,.angular_velocity.x,.angular_velocity.y,.angular_velocity.z,.angular_velocity_covariance,.linear_acceleration.x,.linear_acceleration.y,.linear_acceleration.z,.linear_acceleration_covariance
2019/09/05/07:27:24.665558,6921,1567636044,665073292,gx5_link,-0.134576201439,0.106835283339,0.7783010602,0.603922963142,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.00113466731273,-0.00290747894906,0.00119708129205,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.143310632687,-3.30280356199,-9.22331552446,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2019/09/05/07:27:24.671758,6922,1567636044,671327549,gx5_link,-0.134570240974,0.10683311522,0.77830094099,0.603924751282,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",-0.000611286610365,-0.00334990979172,0.00160674366634,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.143004594902,-3.30606777012,-9.22365349352,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2019/09/05/07:27:24.689859,6923,1567636044,689153562,gx5_link,-0.134567350149,0.106826096773,0.778297781944,0.603930771351,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",-0.000581855420023,-0.00373164890334,0.00179805629887,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.144479564186,-3.30517577738,-9.22522522509,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2019/09/05/07:27:24.703058,6924,1567636044,701166032,gx5_link,-0.134567737579,0.106824055314,0.778299152851,0.603929281235,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.000406086968724,-0.0039073494263,0.000994941103272,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.144599715332,-3.30697438091,-9.22557079554,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2019/09/05/07:27:24.719279,6925,1567636044,719020091,gx5_link,-0.134565427899,0.106824837625,0.778293192387,0.603937327862,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.000252938596532,-0.00331946415827,0.00181183032691,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.13978681731,-3.30729627013,-9.22501180172,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2019/09/05/07:27:24.737086,6926,1567636044,731019362,gx5_link,-0.134563177824,0.106827944517,0.778299212456,0.603929519653,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.000316972815199,-0.00217109522782,0.000999994692393,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.144085470987,-3.30774972171,-9.22567487597,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2019/09/05/07:27:24.749672,6927,1567636044,749108033,gx5_link,-0.134565025568,0.106833294034,0.778292834759,0.603936374187,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.00155801419169,-0.00260552484542,0.00119215680752,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.142401061747,-3.30538042992,-9.22187593997,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2019/09/05/07:27:24.767552,6928,1567636044,767019799,gx5_link,-0.134566575289,0.106826528907,0.778293132782,0.603936851025,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",1.97900808416e-05,-0.00342734134756,0.00209375307895,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.142574468236,-3.30794151038,-9.22365700185,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2019/09/05/07:27:24.781150,6929,1567636044,779030156,gx5_link,-0.134565487504,0.106831006706,0.778295099735,0.603933811188,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.000283174740616,-0.00250402512029,-0.000161079398822,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.145592051782,-3.30964041889,-9.22596372843,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2019/09/05/07:27:24.797764,6930,1567636044,797025438,gx5_link,-0.134566769004,0.106828123331,0.778296947479,0.603931605816,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.000260045257164,-0.00388497929089,0.000835038197692,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.143302848581,-3.30847243756,-9.2280318886,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
